"id","user_id","name","size","type","subtype","alignment","armor_class","hit_points","hit_dice","speed","strength","dexterity","intelligence","wisdom","charisma","constitution","dexterity_save","charisma_save","wisdom_save","stealth","damage_vulnerabilities","damage_resistances","damage_immunities","condition_immunities","senses","languages","challenge_rating","special_abilities","actions","legendary_actions","image_url"
1,1,"Aboleth","Large","aberration","","lawful evil",17,135,"18","10",21,9,18,15,0,15,0,0,6,0,"","","","","darkvision 120 ft., passive Perception 20","Deep Speech, telepathy 120 ft.","CR: 10","name : Amphibious---desc : The aboleth can breathe air and water.---attack_bonus : 0---================================name : Mucous Cloud---desc : While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.---attack_bonus : 0---================================name : Probing Telepathy---desc : If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.---attack_bonus : 0---","name : Multiattack---desc : The aboleth makes three tentacle attacks.---attack_bonus : 0---================================name : Tentacle---desc : Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.---attack_bonus : 9---damage_dice : 2d6---damage_bonus : 5---================================name : Tail---desc : Melee Weapon Attack: +9 to hit, reach 10 ft. one target. Hit: 15 (3d6 + 5) bludgeoning damage.---attack_bonus : 9---damage_dice : 3d6---damage_bonus : 5---================================name : Enslave (3/day)---desc : The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.
Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.---attack_bonus : 0---","name : Detect---desc : The aboleth makes a Wisdom (Perception) check.---attack_bonus : 0---================================name : Tail Swipe---desc : The aboleth makes one tail attack.---attack_bonus : 0---================================name : Psychic Drain (Costs 2 Actions)---desc : One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.---attack_bonus : 0---","https://1d4chan.org/images/0/01/Aboleth.jpg"
2,1,"Acolyte","Medium","humanoid","any race","any alignment",10,9,"2","30",10,10,10,14,11,10,0,0,0,0,"","","","","passive Perception 12","any one language (usually Common)","CR: 0.25","name : Spellcasting---desc : The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:

• Cantrips (at will): light, sacred flame, thaumaturgy
• 1st level (3 slots): bless, cure wounds, sanctuary---attack_bonus : 0---","name : Club---desc : Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.---attack_bonus : 2---damage_dice : 1d4---","","http://www.dnd5eapi.co/api/monsters/2"
3,1,"Adult Black Dragon","Huge","dragon","","chaotic evil",19,195,"17","40",23,14,14,13,17,21,7,8,6,7,"","","acid","","blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic","CR: 14","name : Amphibious---desc : The dragon can breathe air and water.---attack_bonus : 0---================================name : Legendary Resistance (3/Day)---desc : If the dragon fails a saving throw, it can choose to succeed instead.---attack_bonus : 0---","name : Multiattack---desc : The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.---attack_bonus : 0---================================name : Bite---desc : Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.---attack_bonus : 11---damage_dice : 2d10 + 1d8---damage_bonus : 6---================================name : Claw---desc : Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.---attack_bonus : 11---damage_dice : 2d6---damage_bonus : 6---================================name : Tail---desc : Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.---attack_bonus : 11---damage_dice : 2d8---damage_bonus : 6---================================name : Frightful Presence---desc : Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.---attack_bonus : 0---================================name : Acid Breath (Recharge 5-6)---desc : The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.---attack_bonus : 0---damage_dice : 12d8---","name : Detect---desc : The dragon makes a Wisdom (Perception) check.---attack_bonus : 0---================================name : Tail Attack---desc : The dragon makes a tail attack.---attack_bonus : 0---================================name : Wing Attack (Costs 2 Actions)---desc : The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.---attack_bonus : 0---","https://orig00.deviantart.net/6944/f/2013/338/2/d/the_horde_by_nathanparkart-d6obv0b.jpg"
4,1,"Adult Blue Dracolich","Huge","undead","","lawful evil",19,225,"18","40",25,10,16,15,19,23,0,0,0,0,"","necrotic","lightning, poison","charmed, exhaustion, frightened, paralyzed, poisoned","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","CR: 17","name : Legendary Resistance (3/Day)---desc : If the dracolich fails a saving throw, it can choose to succeed instead.---attack_bonus : 0---================================name : Magic Resistance---desc : The dracolich has advantage on saving throws against spells and other magical effects.---attack_bonus : 0---","name : Multiattack---desc : The dracolich can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.---attack_bonus : 0---================================name : Bite---desc : Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.---attack_bonus : 12---damage_dice : 2d10 + 1d10---damage_bonus : 7---================================name : Claw---desc : Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.---attack_bonus : 12---damage_dice : 2d6---damage_bonus : 7---================================name : Tail---desc : Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.---attack_bonus : 12---damage_dice : 2d8---damage_bonus : 7---================================name : Frightful Presence---desc : Each creature of the dracolich's choice that is within 120 feet of the dracolich and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dracolich's Frightful Presence for the next 24 hours.---attack_bonus : 0---================================name : Lightning Breath (Recharge 5-6)---desc : The dracolich exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 20 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.---attack_bonus : 0---damage_dice : 12d10---","name : Detect---desc : The dracolich makes a Wisdom (Perception) check.---attack_bonus : 0---================================name : Tail Attack---desc : The dracolich makes a tail attack.---attack_bonus : 0---================================name : Wing Attack (Costs 2 Actions)---desc : The dracolich beats its tattered wings. Each creature within 10 ft. of the dracolich must succeed on a DC 21 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. After beating its wings this way, the dracolich can fly up to half its flying speed.---attack_bonus : 0---","https://img00.deviantart.net/6938/i/2014/257/3/7/castlevania_los__dracolich_titan_by_vincent_is_mine-d7z5qc5.jpg"
5,1,"Adult Blue Dragon","Huge","dragon","","lawful evil",19,225,"18","40",25,10,16,15,19,23,5,9,7,5,"","","lightning","","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","CR: 16","name : Legendary Resistance (3/Day)---desc : If the dragon fails a saving throw, it can choose to succeed instead.---attack_bonus : 0---","name : Multiattack---desc : The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.---attack_bonus : 0---================================name : Bite---desc : Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.---attack_bonus : 12---damage_dice : 2d10 + 1d10---damage_bonus : 7---================================name : Claw---desc : Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.---attack_bonus : 12---damage_dice : 2d6---damage_bonus : 7---================================name : Tail---desc : Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.---attack_bonus : 12---damage_dice : 2d8---damage_bonus : 7---================================name : Frightful Presence---desc : Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.---attack_bonus : 0---================================name : Lightning Breath (Recharge 5-6)---desc : The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.---attack_bonus : 0---damage_dice : 12d10---","name : Detect---desc : The dragon makes a Wisdom (Perception) check.---attack_bonus : 0---================================name : Tail Attack---desc : The dragon makes a tail attack.---attack_bonus : 0---================================name : Wing Attack (Costs 2 Actions)---desc : The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.---attack_bonus : 0---","https://vignette.wikia.nocookie.net/the-wings-of-fire-roleplay/images/e/ef/Stormwings.jpg/revision/latest?cb=20170706172731"
6,1,"Adult Brass Dragon","Huge","dragon","","chaotic good",18,172,"15","40",23,10,14,13,17,21,5,8,6,5,"","","fire","","blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic","CR: 13","name : Legendary Resistance (3/Day)---desc : If the dragon fails a saving throw, it can choose to succeed instead.---attack_bonus : 0---","name : Multiattack---desc : The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.---attack_bonus : 0---================================name : Bite---desc : Melee Weapon Attack: +11 to hit, reach,.0 ft., one target. Hit: 17 (2d10 + 6) piercing damage.---attack_bonus : 11---damage_dice : 2d10---damage_bonus : 6---================================name : Claw---desc : Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.---attack_bonus : 11---damage_dice : 2d6---damage_bonus : 6---================================name : Tail---desc : Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.---attack_bonus : 11---damage_dice : 2d8---damage_bonus : 6---================================name : Frightful Presence---desc : Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.---attack_bonus : 0---================================name : Breath Weapons (Recharge 5-6)---desc : The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.---attack_bonus : 0---damage_dice : 13d6---","","https://orig00.deviantart.net/e8fb/f/2009/098/e/0/brass_dragon_by_benwootten.jpg"
7,1,"Adult Bronze Dragon","Huge","dragon","","lawful good",19,212,"17","40",25,10,16,15,19,23,5,9,7,5,"","","lightning","","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","CR: 15","name : Amphibious---desc : The dragon can breathe air and water.---attack_bonus : 0---================================name : Legendary Resistance (3/Day)---desc : If the dragon fails a saving throw, it can choose to succeed instead.---attack_bonus : 0---","name : Multiattack---desc : The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.---attack_bonus : 0---================================name : Bite---desc : Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage.---attack_bonus : 12---damage_dice : 2d10---damage_bonus : 7---================================name : Claw---desc : Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.---attack_bonus : 12---damage_dice : 2d6---damage_bonus : 7---================================name : Tail---desc : Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.---attack_bonus : 12---damage_dice : 2d8---damage_bonus : 7---================================name : Frightful Presence---desc : Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.---attack_bonus : 0---================================name : Breath Weapons (Recharge 5-6)---desc : The dragon uses one of the following breath weapons.
Lightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.
Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon.---attack_bonus : 0---damage_dice : 12d10---","name : Detect---desc : The dragon makes a Wisdom (Perception) check.---attack_bonus : 0---================================name : Tail Attack---desc : The dragon makes a tail attack.---attack_bonus : 0---================================name : Wing Attack (Costs 2 Actions)---desc : The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.---attack_bonus : 0---","https://orig00.deviantart.net/6906/f/2016/042/4/9/angry_dragon___by_shiprock-d9rcd10.jpg"
8,1,"Adult Copper Dragon","Huge","dragon","","chaotic good",18,184,"16","40",23,12,18,15,17,21,6,8,7,6,"","","acid","","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","CR: 14","name : Legendary Resistance (3/Day)---desc : If the dragon fails a saving throw, it can choose to succeed instead.---attack_bonus : 0---","name : Multiattack---desc : The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.---attack_bonus : 0---================================name : Bite---desc : Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.---attack_bonus : 11---damage_dice : 2d10---damage_bonus : 6---================================name : Claw---desc : Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.---attack_bonus : 11---damage_dice : 2d6---damage_bonus : 6---================================name : Tail---desc : Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.---attack_bonus : 11---damage_dice : 2d8---damage_bonus : 6---================================name : Frightful Presence---desc : Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.---attack_bonus : 0---================================name : Breath Weapons (Recharge 5-6)---desc : The dragon uses one of the following breath weapons.
Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.
Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.---attack_bonus : 0---damage_dice : 12d8---","name : Detect---desc : The dragon makes a Wisdom (Perception) check.---attack_bonus : 0---================================name : Tail Attack---desc : The dragon makes a tail attack.---attack_bonus : 0---================================name : Wing Attack (Costs 2 Actions)---desc : The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.---attack_bonus : 0---","https://orig00.deviantart.net/70f1/f/2009/098/d/7/copper_dragon_by_benwootten.jpg"
9,1,"Adult Gold Dragon","Huge","dragon","","lawful good",19,256,"19","40",27,14,16,15,24,25,8,13,8,8,"","","fire","","blindsight 60 ft., darkvision 120 ft., passive Perception 24","Common, Draconic","CR: 17","name : Amphibious---desc : The dragon can breathe air and water.---attack_bonus : 0---================================name : Legendary Resistance (3/Day)---desc : If the dragon fails a saving throw, it can choose to succeed instead.---attack_bonus : 0---","name : Multiattack---desc : The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.---attack_bonus : 0---================================name : Bite---desc : Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.---attack_bonus : 14---damage_dice : 2d10---damage_bonus : 8---================================name : Claw---desc : Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.---attack_bonus : 14---damage_dice : 2d6---damage_bonus : 8---================================name : Tail---desc : Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.---attack_bonus : 14---damage_dice : 2d8---damage_bonus : 8---================================name : Frightful Presence---desc : Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.---attack_bonus : 0---================================name : Breath Weapons (Recharge 5-6)---desc : The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 66 (12d10) fire damage on a failed save, or half as much damage on a successful one.
Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.---attack_bonus : 0---damage_dice : 12d10---","name : Detect---desc : The dragon makes a Wisdom (Perception) check.---attack_bonus : 0---================================name : Tail Attack---desc : The dragon makes a tail attack.---attack_bonus : 0---================================name : Wing Attack (Costs 2 Actions)---desc : The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.---attack_bonus : 0---","https://artescritorio.com/wp-content/uploads/2017/03/dd-6.jpg"
10,1,"Adult Green Dragon","Huge","dragon","","lawful evil",19,207,"18","40",23,12,18,15,17,21,6,8,7,6,"","","poison","poisoned","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","CR: 15","name : Amphibious---desc : The dragon can breathe air and water.---attack_bonus : 0---================================name : Legendary Resistance (3/Day)---desc : If the dragon fails a saving throw, it can choose to succeed instead.---attack_bonus : 0---","name : Multiattack---desc : The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.---attack_bonus : 0---================================name : Bite---desc : Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.---attack_bonus : 11---damage_dice : 2d10 + 2d6---damage_bonus : 6---================================name : Claw---desc : Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.---attack_bonus : 11---damage_dice : 2d6---damage_bonus : 6---================================name : Tail---desc : Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.---attack_bonus : 11---damage_dice : 2d8---damage_bonus : 6---================================name : Frightful Presence---desc : Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours .---attack_bonus : 0---================================name : Poison Breath (Recharge 5-6)---desc : The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one.---attack_bonus : 0---damage_dice : 16d6---","name : Detect---desc : The dragon makes a Wisdom (Perception) check.---attack_bonus : 0---================================name : Tail Attack---desc : The dragon makes a tail attack.---attack_bonus : 0---================================name : Wing Attack (Costs 2 Actions)---desc : The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.---attack_bonus : 0---","http://2.bp.blogspot.com/-qpBUiyna5lo/VMmaYtXM6kI/AAAAAAAADdE/Phyex0AxHVg/s1600/3_DeathToWhisperers_GuidoKuip_2014.jpg"
